user_id,business_id
XqaYrCR91-Ln8X6AFsGmVw,PkI1x_NCyEt2sR8MYv4l7w
s2o_JsABvrZVm_T03qrBUw,PkI1x_NCyEt2sR8MYv4l7w
OiX47DSyx7A8frVNF_1WRw,PkI1x_NCyEt2sR8MYv4l7w
zAqNNW1YKtYjkuaEgIxRwA,PkI1x_NCyEt2sR8MYv4l7w
pcbxB02bb7fUcH92wWUIbQ,PkI1x_NCyEt2sR8MYv4l7w
fiGqQ7pIGKyZ9G0RqWLMpg,PkI1x_NCyEt2sR8MYv4l7w
AppD_o5yTDOWtVedlcnqIA,PkI1x_NCyEt2sR8MYv4l7w
z8wN6EQuw_JF-zTjcNgsLw,PkI1x_NCyEt2sR8MYv4l7w
EPaIidqGmugy1Op2BA59SA,PkI1x_NCyEt2sR8MYv4l7w
OiX47DSyx7A8frVNF_1WRw,PkI1x_NCyEt2sR8MYv4l7w
BGZcv3B3mlofVJYG_TTsMw,PkI1x_NCyEt2sR8MYv4l7w
U4INQZOPSUaj8hMjLlZ3KA,PkI1x_NCyEt2sR8MYv4l7w
KQm9OgdujLZiMRTksmj83w,PkI1x_NCyEt2sR8MYv4l7w
Z6f4T7WB_me1BNr5cfrRyw,PkI1x_NCyEt2sR8MYv4l7w
3mPd_wjjGJWQvgux6GMsBQ,Uxwx7IeMiiyIOzWj1OEc3Q
KFXgvT43J_836r60PUv4VA,Uxwx7IeMiiyIOzWj1OEc3Q
iDvXR6TLq2RNX8-qKriUsA,Uxwx7IeMiiyIOzWj1OEc3Q
xTSUTV1LO9-B8yHOwlY-Nw,Uxwx7IeMiiyIOzWj1OEc3Q
H51VNms4F5q8mLpDv_u3sg,Uxwx7IeMiiyIOzWj1OEc3Q
AcasmlifVnN7xf2eBYRR3g,Uxwx7IeMiiyIOzWj1OEc3Q
kEwHd1RXKTr1qwtsVU-wKA,mG9aKiA_3MR-Ln8mDUoXzQ
uqONX59JXCRwly9rzcYGBA,Qwt9lOpplBAZ7JBrgAqI7g
LKp6YxOG-KJzjOl5TPe03w,mG9aKiA_3MR-Ln8mDUoXzQ
y1v0LZrzPOieuX_hUdlgBw,Qwt9lOpplBAZ7JBrgAqI7g
kBkJr_XB4QwOoDkZyvsUeg,mG9aKiA_3MR-Ln8mDUoXzQ
qpbXaCO3oL_ZxPVV325Qng,mG9aKiA_3MR-Ln8mDUoXzQ
FqVV3E3frnwwXoxIdbgalQ,mG9aKiA_3MR-Ln8mDUoXzQ
6z3kRS8Evf5_rkg_ZqPFGg,mG9aKiA_3MR-Ln8mDUoXzQ
UZt1hBcbTsfgD0SlFkwB7g,mG9aKiA_3MR-Ln8mDUoXzQ
bCC6nO4PMznShp95Z5psBA,aidcfUzZLOjWgwlxfv3UlA
6Z7tmhxB1l0XYv_g7Vz8VA,aidcfUzZLOjWgwlxfv3UlA
EXVKSEQxywYeDO6RaikWaw,aidcfUzZLOjWgwlxfv3UlA
xnoLte-jxIkh6wms_hqESA,aidcfUzZLOjWgwlxfv3UlA
iHD6FHHDzPfnLcSX1QaIuA,aidcfUzZLOjWgwlxfv3UlA
xf05MTuWj2iLaSwLbhU0dw,aidcfUzZLOjWgwlxfv3UlA
CQIwNRShTOUP66h7QhsNpg,aidcfUzZLOjWgwlxfv3UlA
_CAN1cNrKKyUDlGbBMOeyQ,aidcfUzZLOjWgwlxfv3UlA
LZ-4UALapPWHPHK3_tvm-g,aidcfUzZLOjWgwlxfv3UlA
X1r0GgHKsg8XxlnyvB7V4g,aidcfUzZLOjWgwlxfv3UlA
zbnYAAhaHzHHdE5BynMTow,Qwt9lOpplBAZ7JBrgAqI7g
Fzk6lQcLZrCQWHDF1uLyJA,aidcfUzZLOjWgwlxfv3UlA
H0tfWQsGjEBuhXD4WUtpHw,aidcfUzZLOjWgwlxfv3UlA
fRACL1aKAUDIgFMcdranwg,Qwt9lOpplBAZ7JBrgAqI7g
HenkLx0kDaGW10Mb6VCg5Q,aidcfUzZLOjWgwlxfv3UlA
TvBQ3qlqw3mkYFO3lSwSDA,Qwt9lOpplBAZ7JBrgAqI7g
fjeugQhOw7TWj8k4rdhwFg,aidcfUzZLOjWgwlxfv3UlA
0Lk6Q_GUxahD7FwHsLw6ig,aidcfUzZLOjWgwlxfv3UlA
hh1YP64nwKu9NhdAJpu6yw,DMMEWBNOJhB9nG_2J1lYvg
hDYS-k8G7leH0I4n9c6qxg,aidcfUzZLOjWgwlxfv3UlA
oJdNSU4qS2qnw0QfA7LXQA,DMMEWBNOJhB9nG_2J1lYvg
BruI-D395yclzw0Xc1-dAg,VaNjd3jir0MKntCFya70uA
u6qSgr1A6aoDHqsqyy4OsQ,aidcfUzZLOjWgwlxfv3UlA
6b0cyX9vaLoHhi9qrN5TCA,DMMEWBNOJhB9nG_2J1lYvg
514fcRn6MNIinm5QUHRYyA,aidcfUzZLOjWgwlxfv3UlA
gVNmQoQvHFM1M3aKRdXsIQ,aidcfUzZLOjWgwlxfv3UlA
V_KEJbn_YTSf37EvnJgeRQ,VaNjd3jir0MKntCFya70uA
zDgZZ6QdxVZ0VYJpuS9MyQ,VaNjd3jir0MKntCFya70uA
uX8F1pZrFbF-47Q2LOlW8w,aidcfUzZLOjWgwlxfv3UlA
m8d1HYOCF8WCfO3AuwiJSw,aidcfUzZLOjWgwlxfv3UlA
hRzmJCPmV1_ggM5jSxq2bA,sKhDrZFCJqfRNylkHrIDsQ
6spkPzZnJwcdL4agAqiVYQ,aidcfUzZLOjWgwlxfv3UlA
jHN9V2Wr54ItVRrLBRaJQw,sKhDrZFCJqfRNylkHrIDsQ
cujFbILr8yLL16u-p1MUxw,aidcfUzZLOjWgwlxfv3UlA
JM0GL6Dx4EuZ1mprLk5Gyg,sKhDrZFCJqfRNylkHrIDsQ
